,Author,Title,Publication Date,Journal,DOI or ISSN or Link,Documented or Projected,Date Range of Study,Year,Study Area,Continent or Region,Country,Freshwater Ecoregion,Major Habitat Type,Waterbody Type,Lentic or Lotic,Climate Change Variable,Focal Species or Assemblage,Additional Species,Response Category,Response Variable,Fish_Response,Thermal Guild,Family or Fish Assemblage,Feeding Type,Feeding Habit,Reproductive Guild - Parental Care,Reproductive Guild - Pattern of Care,Binary Response,Management Recommendations
203,Barrett and Armstrong,"Move, migrate, or tolerate: Quantifying three tactics for cold-water fish coping with warm summers in a large river",2022,Ecosphere,10.1002/ecs2.4095,documented,2020,2020,"Upper Willamette River, Oregon, USA",North America,United States,Columbia Unglaciated,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Coastal Cutthroat Trout (Oncorhynchus clarkii clarkii),NA,distributional,range shifts,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),Restore connectivity; Protect refugial populations and/or habitats
204,Grow et al.,Oxythermal habitat as a primary driver of ecological niche and genetic diversity in cisco (Coregonus artedi),2022,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2021-0059,documented,2013-2015,2014,"Minnesota, USA",North America,United States,Upper Mississippi; English - Winnipeg Lakes; Laurentian Great Lakes; Middle Missouri,Temperate floodplain rivers and wetlands; Large lakes,lake,lentic,temperature,Cisco (Coregonus artedi),NA,distributional,changes in population distribution,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),selective plankton feeding,nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
205,Larsen et al,Species-Specific Abundance Response of Montane Stream Fishes to Drought-Induced Variation in Streamflow,2022,Water,10.3390/w14162467,documented,2011-2015,2013,"Yellow Creek, southwestern Wyoming USA",North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins; Temperate coastal rivers,stream,lotic,flow,Mottled Sculpin (Cottus bairdii),NA,demographic,abundance,decrease,cool,Cottidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,negative (-),No formal management recommendation
206,Larsen et al,Species-Specific Abundance Response of Montane Stream Fishes to Drought-Induced Variation in Streamflow,2022,Water,10.3390/w14162467,documented,2011-2015,2013,"Yellow Creek, southwestern Wyoming USA",North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins; Temperate coastal rivers,stream,lotic,flow,Mountain Sucker (Catostomus platyrhynchus),NA,demographic,abundance,variable,cool,Catostomidae,mainly plants/detritus (troph. 2-2.19),sucking food-containing material,nonguarders,open water/substratum egg scatterers,mixed effects (+/-),No formal management recommendation
207,Larsen et al,Species-Specific Abundance Response of Montane Stream Fishes to Drought-Induced Variation in Streamflow,2022,Water,10.3390/w14162467,documented,2011-2015,2013,"Yellow Creek, southwestern Wyoming USA",North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins; Temperate coastal rivers,stream,lotic,flow,Northern Leatherside Chub (Lepidomeda copei),NA,demographic,abundance,decrease,cold,Catostomidae,mainly plants/detritus (troph. 2-2.19),browsing on substrate,guarders,nesters,negative (-),No formal management recommendation
208,Larsen et al,Species-Specific Abundance Response of Montane Stream Fishes to Drought-Induced Variation in Streamflow,2022,Water,10.3390/w14162467,documented,2011-2015,2013,"Yellow Creek, southwestern Wyoming USA",North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins; Temperate coastal rivers,stream,lotic,flow,Redside Shiner (Richardsonius balteatus),NA,demographic,abundance,decrease,cold,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
209,Larsen et al,Species-Specific Abundance Response of Montane Stream Fishes to Drought-Induced Variation in Streamflow,2022,Water,10.3390/w14162467,documented,2011-2015,2013,"Yellow Creek, southwestern Wyoming USA",North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins; Temperate coastal rivers,stream,lotic,flow,Speckled Dace (Rhinichthys osculus),NA,demographic,abundance,decrease,cool,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),No formal management recommendation
210,Al-Chokhachy et al.,Water availability drives instream conditions and life-history of an imperiled desert fish: A case study to inform water management,2022,Science of the Total Environment,10.1016/j.scitotenv.2022.154614,documented,2015-2021,2018,Truckee River basin,North America,United States,Lahontan,Xeric freshwaters and endorheic (closed) basins,stream,lotic,temperature,Lahontan Cutthroat Trout (Oncorhynchus clarkii henshawi),NA,phenological,emergence,variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,mixed effects (+/-),No formal management recommendation
211,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Green Sunfish (Lepomis cyanellus),NA,distributional,range shifts,increase,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,positive (+),No formal management recommendation
212,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Stoneroller (Campostoma anomalum pullum),NA,distributional,range shifts,no change,warm,Cyprinidae,mainly plants/detritus (troph. 2-2.19),browsing on substrate,guarders,nesters,no effect,No formal management recommendation
213,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Northern Plains Killifish (Fundulus kansae),NA,distributional,range shifts,no change,warm,Fundulidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,no effect,No formal management recommendation
214,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Stonecat (Noturus flavus),NA,distributional,range shifts,no change,warm,Ictaluridae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,no effect,No formal management recommendation
215,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Red Shiner (Cyprinella lutrensis),NA,distributional,range shifts,increase,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
216,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Johnny Darter (Etheostoma nigrum),NA,distributional,range shifts,no change,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,clutch tenders,no effect,No formal management recommendation
217,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Brown Trout (Salmo trutta),NA,distributional,range shifts,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,No formal management recommendation
218,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Common Carp (Cyprinus carpio),NA,distributional,range shifts,increase,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,nonguarders,open water/substratum egg scatterers,positive (+),No formal management recommendation
219,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Bigmouth Shiner (Notropis dorsalis),NA,distributional,range shifts,no change,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,no effect,No formal management recommendation
220,Kirk and Rahel,Assessing climate-induced range shifts of stream fishes using a consensus framework,2023,ECOLOGY OF FRESHWATER FISH Ecology of freshwater fish,10.1111/eff.12684,documented,1957-2019,1988,"North Platte Rivershed, Wyoming, USA",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Sand shiner (Notropis stramineus),NA,distributional,range shifts,no change,cool,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,no effect,No formal management recommendation
221,Torvinen et al.,Lake trout (Salvelinus namaycush) otoliths indicate effects of climate and lake morphology on growth patterns in Arctic lakes,2023,ECOLOGY OF FRESHWATER FISH,10.1111/eff.12678,documented,1950-2014,1982,"Arctic Coastal Plain, Alaska, USA",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,flow,Lake Trout (Salvelinus namaycush),NA,demographic,growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
222,Torvinen et al.,Lake trout (Salvelinus namaycush) otoliths indicate effects of climate and lake morphology on growth patterns in Arctic lakes,2023,ECOLOGY OF FRESHWATER FISH,10.1111/eff.12678,documented,1950-2014,1982,"Arctic Coastal Plain, Alaska, USA",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,temperature,Lake Trout (Salvelinus namaycush),NA,demographic,growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
223,Valdez et al,The need for constructing endangered fish habitats that conform to climate-driven flow changes in a western US river,2023,Journal of the American Water Resources Association,10.1111/1752-1688.13114,documented,1992-2020,2006,"San Juan River Basin, Utah, Colorado, New Mexico, Arizona, USA",North America,United States,Colorado,Xeric freshwaters and endorheic (closed) basins,stream,lotic,flow,Razorback Sucker (Xyrauchen texanus),NA,demographic,survival,decrease,warm,Catostomidae,plants/detritus+animals (troph. 2.2-2.79),sucking food-containing material,nonguarders,open water/substratum egg scatterers,negative (-),Prioritize populations based on vulnerability; Manage flows; Conduct research and/or monitoring
224,Valdez et al,The need for constructing endangered fish habitats that conform to climate-driven flow changes in a western US river,2023,Journal of the American Water Resources Association,10.1111/1752-1688.13114,documented,1992-2020,2006,"San Juan River Basin, Utah, Colorado, New Mexico, Arizona, USA",North America,United States,Colorado,Xeric freshwaters and endorheic (closed) basins,stream,lotic,flow,Colorado Pikeminnow (Ptychocheilus lucius),NA,demographic,survival,decrease,warm,Cyprinidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,negative (-),Prioritize populations based on vulnerability; Manage flows; Conduct research and/or monitoring
225,Kaeding and Mogen,Climate-driven stream-flow impacts on bull trout metapopulation dynamics revealed by quantitative assessment of 22?years of tag–recapture data,2023,Freshwater Biology,10.1111/fwb.14025,documented,1998-2018,2008,"St. Mary River, Montana, USA",North America,United States,Upper Saskatchewan,Temperate upland rivers,stream,lotic,flow,Bull Trout (Salvelinus confluentus),NA,demographic,growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),No formal management recommendation
226,Kaeding and Mogen,Climate-driven stream-flow impacts on bull trout metapopulation dynamics revealed by quantitative assessment of 22?years of tag–recapture data,2023,Freshwater Biology,10.1111/fwb.14025,documented,1998-2018,2008,"St. Mary River, Montana, USA",North America,United States,Upper Saskatchewan,Temperate upland rivers,stream,lotic,flow,Bull Trout (Salvelinus confluentus),NA,demographic,growth,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),No formal management recommendation
